"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","arlab176",,,,"User:","spuser"
"Cmdline:","dstat --time -v --net --output /home/spuser/pid_monitor/rundir/EXAMPLE-SWEEP/20150623-174712/data/raw/BLOCK_SIZE_KB=512.1.dstat.csv 1",,,,"Date:","23 Jun 2015 17:47:46 CDT"

"system","procs",,,"memory usage",,,,"paging",,"dsk/total",,"system",,"total cpu usage",,,,,,"net/total",
"time","run","blk","new","used","buff","cach","free","in","out","read","writ","int","csw","usr","sys","idl","wai","hiq","siq","recv","send"
23-06 17:47:46,0.0,0.000,1.456,36755013632.0,1447821312.0,4.310974464e+11,6.27739066368e+11,60154.386,221367.070,1046410.967,15184036.032,7210.435,20480.649,1.214,0.289,98.418,0.041,0.019,0.019,0.0,0.0
23-06 17:47:47,2.0,1.0,1.0,36745510912.0,1447821312.0,4.31097708544e+11,6.27748306944e+11,0.0,0.0,0.0,56750080.0,9535.0,17481.0,0.036,0.193,99.240,0.516,0.010,0.005,1191.0,449.0
23-06 17:47:48,0.0,1.0,1.0,36745117696.0,1447821312.0,4.31098036224e+11,6.2774837248e+11,0.0,0.0,0.0,57409536.0,9485.0,17473.0,0.031,0.193,99.245,0.510,0.016,0.005,2352.0,3637.0
23-06 17:47:49,1.0,1.0,0.0,36746625024.0,1447821312.0,4.31097905152e+11,6.27746996224e+11,0.0,0.0,0.0,57933824.0,9632.0,17627.0,0.036,0.198,99.234,0.511,0.016,0.005,1534.0,1555.0
23-06 17:47:50,1.0,1.0,0.0,36746625024.0,1447821312.0,4.31097905152e+11,6.27746996224e+11,0.0,0.0,0.0,57671680.0,9411.0,17757.0,0.037,0.193,99.233,0.511,0.016,0.010,1854.0,1552.0
23-06 17:47:51,1.0,1.0,0.0,36746559488.0,1447821312.0,4.31097905152e+11,6.2774706176e+11,0.0,0.0,0.0,57671680.0,9345.0,17510.0,0.031,0.193,99.245,0.510,0.016,0.005,1500.0,987.0
23-06 17:47:52,1.0,1.0,0.0,36746559488.0,1447821312.0,4.31097905152e+11,6.2774706176e+11,0.0,0.0,0.0,56147968.0,9141.0,17449.0,0.036,0.193,99.229,0.521,0.010,0.010,1586.0,816.0
23-06 17:47:53,1.0,1.0,0.0,36746493952.0,1447886848.0,4.31097839616e+11,6.27747127296e+11,0.0,0.0,32768.0,55083008.0,9397.0,17375.0,0.037,0.204,99.227,0.512,0.016,0.005,1726.0,1553.0
23-06 17:47:54,0.0,1.0,0.0,36746493952.0,1447886848.0,4.31097839616e+11,6.27747127296e+11,0.0,0.0,0.0,57147392.0,9370.0,17727.0,0.037,0.198,99.228,0.511,0.016,0.010,1442.0,1355.0
23-06 17:47:55,0.0,1.0,0.0,36746362880.0,1447886848.0,4.31097970688e+11,6.27747127296e+11,0.0,0.0,0.0,57147392.0,9274.0,17422.0,0.036,0.198,99.235,0.510,0.016,0.005,1976.0,1186.0
