"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","arlab151",,,,"User:","spuser"
"Cmdline:","dstat --time -v --net --output /flash/spark/pid_monitor/rundir/TERASORT/20150616-143627/data/raw/SIZE_GB=100.PARTS=1920.1.dstat.csv 5",,,,"Date:","16 Jun 2015 14:50:44 CDT"

"system","procs",,,"memory usage",,,,"paging",,"dsk/total",,"system",,"total cpu usage",,,,,,"net/total",
"time","run","blk","new","used","buff","cach","free","in","out","read","writ","int","csw","usr","sys","idl","wai","hiq","siq","recv","send"
16-06 14:50:44,0.000,0.0,4.536,21324627968.0,3114336256.0,2.497937408e+11,8.22806577152e+11,89.411,112.156,26101997.776,26024527.928,9892.490,13196.801,2.339,0.449,96.729,0.407,0.035,0.041,0.0,0.0
16-06 14:50:49,250.600,0.200,1030.800,25145704448.0,3114401792.0,2.4979505152e+11,8.18984124416e+11,0.0,0.0,819.200,428441.600,23920.200,123310.400,7.579,0.996,91.243,0.077,0.065,0.041,2839.400,1635.800
16-06 14:50:54,61.0,0.0,737.600,57958400000.0,3114467328.0,2.498002944e+11,7.86166120448e+11,0.0,0.0,819.200,366182.400,52467.800,346589.200,29.648,2.917,67.124,0.012,0.194,0.106,14071.600,12861.800
16-06 14:50:59,24.200,0.0,52.0,1.06601250816e+11,3114467328.0,2.49804095488e+11,7.37519468544e+11,0.0,0.0,0.0,1013350.400,65163.600,338452.800,34.793,4.668,60.015,0.001,0.286,0.237,66607.200,29561510.600
16-06 14:51:04,47.0,0.0,61.0,2.4409145344e+11,3114598400.0,2.4980422656e+11,6.00029003776e+11,0.0,0.0,0.0,78643.200,85847.600,106336.800,47.047,9.259,42.334,0.122,0.697,0.542,45886.400,60661068.200
16-06 14:51:09,21.0,0.0,68.0,2.95653408768e+11,3114598400.0,2.49804423168e+11,5.4846685184e+11,0.0,0.0,819.200,98304.0,88162.400,128425.600,47.648,7.900,43.295,0.0,0.619,0.538,3996.200,1691.600
16-06 14:51:14,20.600,0.0,77.800,2.96628125696e+11,3114598400.0,2.49804685312e+11,5.47491872768e+11,0.0,0.0,819.200,10649.600,88741.600,121787.400,48.343,6.613,43.943,0.021,0.582,0.499,3531.0,1505.400
16-06 14:51:19,20.800,0.0,31.200,2.97126658048e+11,3114598400.0,2.49804685312e+11,5.46993340416e+11,0.0,0.0,0.0,81920.0,46299.400,59723.600,15.733,2.317,81.552,0.0,0.206,0.191,4261.400,1879.0
16-06 14:51:24,115.800,0.0,105.400,2.976858112e+11,3114663936.0,2.49804947456e+11,5.46433859584e+11,0.0,0.0,0.0,741376.0,154808.800,157847.800,48.497,7.938,42.019,0.014,0.736,0.797,936719.600,568827087.0
16-06 14:51:29,26.800,0.0,45.0,2.982477824e+11,3114729472.0,2.49805078528e+11,5.45871691776e+11,0.0,0.0,819.200,795443.200,120462.800,113605.200,24.825,5.333,68.812,0.005,0.459,0.566,3011312.600,1233714591.400
16-06 14:51:34,45.800,0.0,23.800,3.01819559936e+11,3114729472.0,2.50183614464e+11,5.41921378304e+11,0.0,0.0,819.200,192512.0,96133.0,87424.400,45.993,8.002,44.858,0.001,0.588,0.557,149631.200,66060529.200
16-06 14:51:39,81.0,0.0,16.800,3.05348214784e+11,3115057152.0,2.51934408704e+11,5.36641601536e+11,0.0,0.0,0.0,142721024.0,110826.200,90654.0,46.534,8.173,44.197,0.004,0.576,0.515,1788678.200,1036743053.600
16-06 14:51:44,54.400,0.0,13.600,3.06244419584e+11,3115122688.0,2.53737959424e+11,5.3394178048e+11,0.0,0.0,0.0,19097190.400,59802.800,76891.0,47.268,4.615,47.573,0.003,0.313,0.227,132702.200,34582279.0
16-06 14:51:49,19.800,0.0,13.600,3.12826789888e+11,3115122688.0,2.55165661184e+11,5.25931708416e+11,0.0,0.0,0.0,132129587.200,63593.200,114063.0,47.034,5.535,46.797,0.001,0.340,0.293,15123.600,2097.400
16-06 14:51:54,43.800,0.0,17.0,3.23077931008e+11,3115188224.0,2.56971046912e+11,5.13875116032e+11,0.0,0.0,819.200,615659110.400,63602.400,66014.400,47.182,5.105,46.990,0.119,0.329,0.275,3377.400,1690.0
16-06 14:51:59,68.0,0.0,17.400,3.34164000768e+11,3115253760.0,2.58938044416e+11,5.00821983232e+11,0.0,0.0,819.200,368640.0,61130.800,66366.0,46.618,5.443,47.347,0.003,0.321,0.268,4295.400,1901.400
16-06 14:52:04,48.800,0.0,14.0,3.5201810432e+11,3115384832.0,2.60732223488e+11,4.81173569536e+11,0.0,0.0,0.0,221184.0,61667.0,69689.400,46.913,5.245,47.275,0.002,0.319,0.246,3409.0,1563.400
16-06 14:52:09,27.600,0.0,13.0,3.77275482112e+11,3115843584.0,2.62438322176e+11,4.54209634304e+11,0.0,0.0,819.200,71319552.0,61623.0,87296.200,46.891,5.392,47.116,0.036,0.328,0.237,3800.600,1968.0
16-06 14:52:14,42.0,0.0,20.200,3.90595805184e+11,3116236800.0,2.64035434496e+11,4.39291805696e+11,0.0,0.0,819.200,1415003340.800,64039.800,125937.200,47.588,4.621,47.084,0.115,0.313,0.279,2896.200,1575.800
16-06 14:52:19,53.0,0.0,17.600,3.91813267456e+11,3116498944.0,2.66007805952e+11,4.36101709824e+11,0.0,0.0,819.200,353075.200,62997.200,67172.200,48.199,4.133,47.091,0.001,0.306,0.270,3491.0,1982.200
16-06 14:52:24,43.0,0.0,15.0,3.9432454144e+11,3116630016.0,2.67924209664e+11,4.31673901056e+11,0.0,0.0,0.0,557056.0,62946.800,86361.200,47.867,4.247,47.324,0.012,0.302,0.248,3156.800,1583.200
16-06 14:52:29,43.200,0.0,16.800,3.95972378624e+11,3116892160.0,2.6986053632e+11,4.28089475072e+11,0.0,0.0,0.0,533299.200,63260.400,71187.400,48.289,4.189,46.949,0.003,0.310,0.260,4703.200,1960.600
16-06 14:52:34,77.0,0.0,17.0,3.9814791168e+11,3117285376.0,2.71785590784e+11,4.23988494336e+11,0.0,0.0,1638.400,160915456.0,62591.800,78362.0,47.855,4.222,47.360,0.005,0.299,0.260,3541.200,1563.400
16-06 14:52:39,19.200,0.200,15.400,4.01866555392e+11,3117481984.0,2.73576493056e+11,4.18478751744e+11,0.0,0.0,819.200,481942732.800,62424.200,105355.800,47.978,4.198,47.225,0.043,0.301,0.255,4118.200,1986.400
16-06 14:52:44,43.0,0.0,14.200,4.02595774464e+11,3117744128.0,2.75413336064e+11,4.1591242752e+11,0.0,0.0,0.0,1430293708.800,63533.800,77889.200,47.897,4.256,47.000,0.232,0.312,0.303,3559.400,1589.800
16-06 14:52:49,101.0,0.0,36.600,4.0284913664e+11,3117744128.0,2.77096235008e+11,4.139761664e+11,0.0,0.0,0.0,319488.0,74245.200,73333.400,34.856,3.615,60.943,0.001,0.294,0.291,4155.800,1904.200
16-06 14:52:54,19.200,0.0,6.400,4.02889637888e+11,3117875200.0,2.78692102144e+11,4.12339666944e+11,0.0,0.0,819.200,385843.200,123211.800,108720.400,47.633,6.414,44.863,0.007,0.535,0.548,2214557.0,1014100388.600
16-06 14:52:59,43.0,0.0,34.600,4.03396755456e+11,3118399488.0,2.80185536512e+11,4.1033859072e+11,0.0,0.0,819.200,648806.400,103536.200,106585.200,47.851,6.337,44.877,0.002,0.499,0.433,338740.800,299888864.800
16-06 14:53:04,20.0,0.0,32.0,4.03547291648e+11,3118661632.0,2.81901334528e+11,4.08471994368e+11,0.0,0.0,0.0,151665868.800,105808.800,126496.200,47.668,6.366,45.012,0.001,0.489,0.464,1183320.200,945256787.0
16-06 14:53:09,14.400,0.200,26.800,4.03692781568e+11,3118989312.0,2.8395077632e+11,4.06276734976e+11,0.0,0.0,0.0,1231649177.600,110656.400,99955.0,46.555,6.269,46.100,0.109,0.484,0.484,1167051.200,1030323121.0
16-06 14:53:14,1.200,0.0,0.0,4.0380923904e+11,3119251456.0,2.854928384e+11,4.0461795328e+11,0.0,0.0,819.200,520036352.0,42595.600,52260.600,26.421,2.095,71.151,0.052,0.152,0.131,311137.0,271744435.800
16-06 14:53:19,55.200,0.0,10.600,4.0652275712e+11,3119251456.0,2.85558767616e+11,4.01838505984e+11,0.0,0.0,819.200,166297.600,138557.800,82169.600,31.570,2.778,64.716,0.001,0.405,0.529,30253180.200,47362026.800
16-06 14:53:24,22.200,0.0,0.0,4.073029632e+11,3119251456.0,2.85558767616e+11,4.01058299904e+11,0.0,0.0,0.0,222003.200,108939.800,59245.800,47.918,2.389,49.010,0.001,0.340,0.342,75700791.600,338233388.0
16-06 14:53:29,35.0,0.0,78.400,4.06370254848e+11,3119316992.0,2.88825802752e+11,3.98723907584e+11,0.0,0.0,0.0,894566.400,142651.800,136671.200,50.241,6.845,41.678,0.011,0.643,0.584,166571180.200,24813580.0
